COHORTGROUPO,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
2023-12,1.0,0.14835164835164835,0.07967032967032966,0.07417582417582418,0.057692307692307696,0.06868131868131869,0.06318681318681318,0.054945054945054944,0.04120879120879121,0.054945054945054944,0.06318681318681318,0.057692307692307696
2024-01,,1.0,0.07692307692307693,0.07051282051282051,0.057692307692307696,0.07692307692307693,0.08333333333333333,0.04487179487179487,0.02564102564102564,0.05128205128205128,0.04487179487179487,0.038461538461538464
2024-02,,,1.0,0.056818181818181816,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.056818181818181816,0.011363636363636364,0.011363636363636364,0.07954545454545454,0.03409090909090909
2024-03,,,,1.0,0.06,0.01,0.06,0.03,0.05,0.04,0.03,0.02
2024-04,,,,,1.0,0.08536585365853659,0.08536585365853659,0.04878048780487805,0.024390243902439025,0.024390243902439025,,0.024390243902439025
2024-05,,,,,,1.0,0.07462686567164178,0.03482587064676617,0.01990049751243781,0.029850746268656716,0.03482587064676617,0.009950248756218905
2024-06,,,,,,,1.0,0.08480565371024736,0.03180212014134275,0.028268551236749116,0.03180212014134275,0.014134275618374558
2024-07,,,,,,,,1.0,0.030837004405286344,0.039647577092511016,0.04405286343612335,0.030837004405286344
2024-08,,,,,,,,,1.0,0.07352941176470588,0.03676470588235294,0.029411764705882353
2024-09,,,,,,,,,,1.0,0.09285714285714286,0.02142857142857143
2024-10,,,,,,,,,,,1.0,0.08021390374331551
2024-11,,,,,,,,,,,,1.0
